Time,Pulse
02:00:01_060,51
02:00:01_070,51
02:00:01_080,51
02:00:01_090,51
02:00:01_100,51
02:00:01_110,51
02:00:01_120,51
02:00:01_130,51
02:00:01_140,51
02:00:01_150,51
02:00:01_160,51
02:00:01_170,51
02:00:01_180,51
02:00:01_190,51
02:00:01_200,51
02:00:01_210,51
02:00:01_220,51
02:00:01_230,51
02:00:01_240,51
02:00:01_250,51
02:00:01_260,51
02:00:01_270,51
02:00:01_280,51
02:00:01_290,51
02:00:01_300,51
02:00:01_310,51
02:00:01_320,51
02:00:01_330,51
02:00:01_340,51
02:00:01_350,51
02:00:01_360,51
02:00:01_370,51
02:00:01_380,51
02:00:01_390,51
02:00:01_400,51
02:00:01_410,51
02:00:01_420,51
02:00:01_430,51
02:00:01_440,51
02:00:01_450,51
02:00:01_460,51
02:00:01_470,51
02:00:01_480,51
02:00:01_490,51
02:00:01_500,51
02:00:01_510,51
02:00:01_520,51
02:00:01_530,51
02:00:01_540,51
02:00:01_550,51
02:00:01_560,51
02:00:01_570,51
02:00:01_580,51
02:00:01_590,51
02:00:01_600,51
02:00:01_610,51
02:00:01_620,51
02:00:01_630,51
02:00:01_640,51
02:00:01_650,51
02:00:01_660,51
02:00:01_670,51
02:00:01_680,51
02:00:01_690,51
02:00:01_700,51
02:00:01_710,51
02:00:01_720,51
02:00:01_730,51
02:00:01_740,51
02:00:01_750,51
02:00:01_760,51
02:00:01_770,51
02:00:01_780,51
02:00:01_790,51
02:00:01_800,51
02:00:01_810,51
02:00:01_820,51
02:00:01_830,51
02:00:01_840,51
02:00:01_850,51
02:00:01_860,51
02:00:01_870,51
02:00:01_880,51
02:00:01_890,51
02:00:01_900,51
02:00:01_910,51
02:00:01_920,51
02:00:01_930,51
02:00:01_940,51
02:00:01_950,51
02:00:01_960,51
02:00:01_970,51
02:00:01_980,51
02:00:01_990,51
02:00:02_000,51
02:00:02_010,51
02:00:02_020,51
02:00:02_030,51
02:00:02_040,51
02:00:02_050,51
02:00:02_060,51
02:00:02_070,51
02:00:02_080,51
02:00:02_090,51
02:00:02_100,51
02:00:02_110,51
02:00:02_120,51
02:00:02_130,51
02:00:02_140,51
02:00:02_150,51
02:00:02_160,51
02:00:02_170,51
02:00:02_180,51
02:00:02_190,51
02:00:02_200,51
02:00:02_210,51
02:00:02_220,51
02:00:02_230,51
02:00:02_240,51
02:00:02_250,51
02:00:02_260,51
02:00:02_270,51
02:00:02_280,51
02:00:02_290,51
02:00:02_300,51
02:00:02_310,51
02:00:02_320,51
02:00:02_330,51
02:00:02_340,51
02:00:02_350,51
02:00:02_360,51
02:00:02_370,51
02:00:02_380,51
02:00:02_390,51
02:00:02_400,51
02:00:02_410,51
02:00:02_420,51
02:00:02_430,51
02:00:02_440,51
02:00:02_450,51
02:00:02_460,51
02:00:02_470,51
02:00:02_480,51
02:00:02_490,51
02:00:02_500,51
02:00:02_510,51
02:00:02_520,51
02:00:02_530,51
02:00:02_540,51
02:00:02_550,51
02:00:02_560,51
02:00:02_570,51
02:00:02_580,51
02:00:02_590,51
02:00:02_600,51
02:00:02_610,51
02:00:02_620,51
02:00:02_630,51
02:00:02_640,51
02:00:02_650,51
02:00:02_660,51
02:00:02_670,51
02:00:02_680,51
02:00:02_690,51
02:00:02_700,51
02:00:02_710,51
02:00:02_720,51
02:00:02_730,51
02:00:02_740,51
02:00:02_750,51
02:00:02_760,51
02:00:02_770,51
02:00:02_780,51
02:00:02_790,51
02:00:02_800,51
02:00:02_810,51
02:00:02_820,51
02:00:02_830,51
02:00:02_840,51
02:00:02_850,51
02:00:02_860,51
02:00:02_870,51
02:00:02_880,51
02:00:02_890,51
02:00:02_900,51
02:00:02_910,51
02:00:02_920,51
02:00:02_930,51
02:00:02_940,51
02:00:02_950,51
02:00:02_960,51
02:00:02_970,51
02:00:02_980,51
02:00:02_990,51
02:00:03_000,51
02:00:03_010,51
02:00:03_020,51
02:00:03_030,51
02:00:03_040,51
02:00:03_050,51
02:00:03_060,51
02:00:03_070,51
02:00:03_080,51
02:00:03_090,51
02:00:03_100,51
02:00:03_110,51
02:00:03_120,51
02:00:03_130,51
02:00:03_140,51
02:00:03_150,51
02:00:03_160,51
02:00:03_170,51
02:00:03_180,51
02:00:03_190,51
02:00:03_200,51
02:00:03_210,51
02:00:03_220,51
02:00:03_230,51
02:00:03_240,51
02:00:03_250,51
02:00:03_260,51
02:00:03_270,51
02:00:03_280,51
02:00:03_290,51
02:00:03_300,51
02:00:03_310,51
02:00:03_320,51
02:00:03_330,51
02:00:03_340,51
02:00:03_350,51
02:00:03_360,51
02:00:03_370,51
02:00:03_380,51
02:00:03_390,51
02:00:03_400,51
02:00:03_410,51
02:00:03_420,51
02:00:03_430,51
02:00:03_440,51
02:00:03_450,51
02:00:03_460,51
02:00:03_470,51
02:00:03_480,51
02:00:03_490,51
02:00:03_500,51
02:00:03_510,51
02:00:03_520,51
02:00:03_530,51
02:00:03_540,51
02:00:03_550,51
02:00:03_560,51
02:00:03_570,51
02:00:03_580,51
02:00:03_590,51
02:00:03_600,51
02:00:03_610,51
02:00:03_620,51
02:00:03_630,51
02:00:03_640,51
02:00:03_650,51
02:00:03_660,51
02:00:03_670,51
02:00:03_680,51
02:00:03_690,51
02:00:03_700,51
02:00:03_710,51
02:00:03_720,51
02:00:03_730,51
02:00:03_740,51
02:00:03_750,51
02:00:03_760,51
02:00:03_770,51
02:00:03_780,51
02:00:03_790,51
02:00:03_800,51
02:00:03_810,51
02:00:03_820,51
02:00:03_830,51
02:00:03_840,51
02:00:03_850,51
02:00:03_860,51
02:00:03_870,51
02:00:03_880,51
02:00:03_890,51
02:00:03_900,51
02:00:03_910,51
02:00:03_920,51
02:00:03_930,51
02:00:03_940,51
02:00:03_950,51
02:00:03_960,51
02:00:03_970,51
02:00:03_980,51
02:00:03_990,51
02:00:04_000,51
02:00:04_010,51
02:00:04_020,51
02:00:04_030,51
02:00:04_040,51
02:00:04_050,51
02:00:04_060,51
02:00:04_070,51
02:00:04_080,51
02:00:04_090,51
02:00:04_100,51
02:00:04_110,51
02:00:04_120,51
02:00:04_130,51
02:00:04_140,51
02:00:04_150,51
02:00:04_160,51
02:00:04_170,51
02:00:04_180,51
02:00:04_190,51
02:00:04_200,51
02:00:04_210,51
02:00:04_220,51
02:00:04_230,51
02:00:04_240,51
02:00:04_250,51
02:00:04_260,51
02:00:04_270,51
02:00:04_280,51
02:00:04_290,51
02:00:04_300,51
02:00:04_310,51
02:00:04_320,51
02:00:04_330,51
02:00:04_340,51
02:00:04_350,51
02:00:04_360,51
02:00:04_370,51
02:00:04_380,51
02:00:04_390,51
02:00:04_400,51
02:00:04_410,51
02:00:04_420,51
02:00:04_430,51
02:00:04_440,51
02:00:04_450,51
02:00:04_460,51
02:00:04_470,51
02:00:04_480,51
02:00:04_490,51
02:00:04_500,51
02:00:04_510,51
02:00:04_520,51
02:00:04_530,51
02:00:04_540,51
02:00:04_550,51
02:00:04_560,51
02:00:04_570,51
02:00:04_580,51
02:00:04_590,51
02:00:04_600,51
02:00:04_610,51
02:00:04_620,51
02:00:04_630,51
02:00:04_640,51
02:00:04_650,51
02:00:04_660,51
02:00:04_670,51
02:00:04_680,51
02:00:04_690,51
02:00:04_700,51
02:00:04_710,51
02:00:04_720,51
02:00:04_730,51
02:00:04_740,51
02:00:04_750,51
02:00:04_760,51
02:00:04_770,51
02:00:04_780,51
02:00:04_790,51
02:00:04_800,51
02:00:04_810,51
02:00:04_820,51
02:00:04_830,51
02:00:04_840,51
02:00:04_850,51
02:00:04_860,51
02:00:04_870,51
02:00:04_880,51
02:00:04_890,51
02:00:04_900,51
02:00:04_910,51
02:00:04_920,51
02:00:04_930,51
02:00:04_940,51
02:00:04_950,51
02:00:04_960,51
02:00:04_970,51
02:00:04_980,51
02:00:04_990,51
02:00:05_000,51
02:00:05_010,51
02:00:05_020,51
02:00:05_030,51
02:00:05_040,51
02:00:05_050,51
02:00:05_060,51
02:00:05_070,51
02:00:05_080,51
02:00:05_090,51
02:00:05_100,51
02:00:05_110,51
02:00:05_120,51
02:00:05_130,51
02:00:05_140,51
02:00:05_150,51
02:00:05_160,51
02:00:05_170,51
02:00:05_180,51
02:00:05_190,51
02:00:05_200,51
02:00:05_210,51
02:00:05_220,51
02:00:05_230,51
02:00:05_240,51
02:00:05_250,51
02:00:05_260,51
02:00:05_270,51
02:00:05_280,51
02:00:05_290,51
02:00:05_300,51
02:00:05_310,51
02:00:05_320,51
02:00:05_330,51
02:00:05_340,51
02:00:05_350,51
02:00:05_360,51
02:00:05_370,51
02:00:05_380,51
02:00:05_390,51
02:00:05_400,51
02:00:05_410,51
02:00:05_420,51
02:00:05_430,51
02:00:05_440,51
02:00:05_450,51
02:00:05_460,51
02:00:05_470,51
02:00:05_480,51
02:00:05_490,51
02:00:05_500,51
02:00:05_510,51
02:00:05_520,51
02:00:05_530,51
02:00:05_540,51
02:00:05_550,51
02:00:05_560,51
02:00:05_570,51
02:00:05_580,51
02:00:05_590,51
02:00:05_600,51
02:00:05_610,51
02:00:05_620,51
02:00:05_630,51
02:00:05_640,51
02:00:05_650,51
02:00:05_660,51
02:00:05_670,51
02:00:05_680,51
02:00:05_690,51
02:00:05_700,51
02:00:05_710,51
02:00:05_720,51
02:00:05_730,51
02:00:05_740,51
02:00:05_750,51
02:00:05_760,51
02:00:05_770,51
02:00:05_780,51
02:00:05_790,51
02:00:05_800,51
02:00:05_810,51
02:00:05_820,51
02:00:05_830,51
02:00:05_840,51
02:00:05_850,51
02:00:05_860,51
02:00:05_870,51
02:00:05_880,51
02:00:05_890,51
02:00:05_900,51
02:00:05_910,51
02:00:05_920,51
02:00:05_930,51
02:00:05_940,51
02:00:05_950,51
02:00:05_960,51
02:00:05_970,51
02:00:05_980,51
02:00:05_990,51
02:00:06_000,51
02:00:06_010,51
02:00:06_020,51
02:00:06_030,51
02:00:06_040,51
02:00:06_050,51
02:00:06_060,51
02:00:06_070,51
02:00:06_080,51
02:00:06_090,51
02:00:06_100,51
02:00:06_110,51
02:00:06_120,51
02:00:06_130,51
02:00:06_140,51
02:00:06_150,51
02:00:06_160,51
02:00:06_170,51
02:00:06_180,51
02:00:06_190,51
02:00:06_200,51
02:00:06_210,51
02:00:06_220,51
02:00:06_230,51
02:00:06_240,51
02:00:06_250,51
02:00:06_260,51
02:00:06_270,51
02:00:06_280,51
02:00:06_290,51
02:00:06_300,51
02:00:06_310,51
02:00:06_320,51
02:00:06_330,51
02:00:06_340,51
02:00:06_350,51
02:00:06_360,51
02:00:06_370,51
02:00:06_380,51
02:00:06_390,51
02:00:06_400,51
02:00:06_410,51
02:00:06_420,51
02:00:06_430,51
02:00:06_440,51
02:00:06_450,51
02:00:06_460,51
02:00:06_470,51
02:00:06_480,51
02:00:06_490,51
02:00:06_500,51
02:00:06_510,51
02:00:06_520,51
02:00:06_530,51
02:00:06_540,51
02:00:06_550,51
02:00:06_560,51
02:00:06_570,51
02:00:06_580,51
02:00:06_590,51
02:00:06_600,51
02:00:06_610,51
02:00:06_620,51
02:00:06_630,51
02:00:06_640,51
02:00:06_650,51
02:00:06_660,51
02:00:06_670,51
02:00:06_680,51
02:00:06_690,51
02:00:06_700,51
02:00:06_710,51
02:00:06_720,51
02:00:06_730,51
02:00:06_740,51
02:00:06_750,51
02:00:06_760,51
02:00:06_770,51
02:00:06_780,51
02:00:06_790,51
02:00:06_800,51
02:00:06_810,51
02:00:06_820,51
02:00:06_830,51
02:00:06_840,51
02:00:06_850,51
02:00:06_860,51
02:00:06_870,51
02:00:06_880,51
02:00:06_890,51
02:00:06_900,51
02:00:06_910,51
02:00:06_920,51
02:00:06_930,51
02:00:06_940,51
02:00:06_950,51
02:00:06_960,51
02:00:06_970,51
02:00:06_980,51
02:00:06_990,51
02:00:07_000,51
02:00:07_010,51
02:00:07_020,51
02:00:07_030,51
02:00:07_040,51
02:00:07_050,51
02:00:07_060,51
02:00:07_070,51
02:00:07_080,51
02:00:07_090,51
02:00:07_100,51
02:00:07_110,51
02:00:07_120,51
02:00:07_130,51
02:00:07_140,51
02:00:07_150,51
02:00:07_160,51
02:00:07_170,51
02:00:07_180,51
02:00:07_190,51
02:00:07_200,51
02:00:07_210,51
02:00:07_220,51
02:00:07_230,51
02:00:07_240,51
02:00:07_250,51
02:00:07_260,51
02:00:07_270,51
02:00:07_280,51
02:00:07_290,51
02:00:07_300,51
02:00:07_310,51
02:00:07_320,51
02:00:07_330,51
02:00:07_340,51
02:00:07_350,51
02:00:07_360,51
02:00:07_370,51
02:00:07_380,51
02:00:07_390,51
02:00:07_400,51
02:00:07_410,51
02:00:07_420,51
02:00:07_430,51
02:00:07_440,51
02:00:07_450,51
02:00:07_460,51
02:00:07_470,51
02:00:07_480,51
02:00:07_490,51
02:00:07_500,51
02:00:07_510,51
02:00:07_520,51
02:00:07_530,51
02:00:07_540,51
02:00:07_550,51
02:00:07_560,51
02:00:07_570,51
02:00:07_580,51
02:00:07_590,51
02:00:07_600,51
02:00:07_610,51
02:00:07_620,51
02:00:07_630,51
02:00:07_640,51
02:00:07_650,51
02:00:07_660,51
02:00:07_670,51
02:00:07_680,51
02:00:07_690,51
02:00:07_700,51
02:00:07_710,51
02:00:07_720,51
02:00:07_730,51
02:00:07_740,51
02:00:07_750,51
02:00:07_760,51
02:00:07_770,51
02:00:07_780,51
02:00:07_790,51
02:00:07_800,51
02:00:07_810,51
02:00:07_820,51
02:00:07_830,51
02:00:07_840,51
02:00:07_850,51
02:00:07_860,51
02:00:07_870,51
02:00:07_880,51
02:00:07_890,51
02:00:07_900,51
02:00:07_910,51
02:00:07_920,51
02:00:07_930,51
02:00:07_940,51
02:00:07_950,51
02:00:07_960,51
02:00:07_970,51
02:00:07_980,51
02:00:07_990,51
02:00:08_000,51
02:00:08_010,51
02:00:08_020,51
02:00:08_030,51
02:00:08_040,51
02:00:08_050,51
02:00:08_060,51
02:00:08_070,51
02:00:08_080,51
02:00:08_090,51
02:00:08_100,51
02:00:08_110,51
02:00:08_120,51
02:00:08_130,51
02:00:08_140,51
02:00:08_150,51
02:00:08_160,51
02:00:08_170,51
02:00:08_180,51
02:00:08_190,51
02:00:08_200,51
02:00:08_210,51
02:00:08_220,51
02:00:08_230,51
02:00:08_240,51
02:00:08_250,51
02:00:08_260,51
02:00:08_270,51
02:00:08_280,51
02:00:08_290,51
02:00:08_300,51
02:00:08_310,51
02:00:08_320,51
02:00:08_330,51
02:00:08_340,51
02:00:08_350,51
02:00:08_360,51
02:00:08_370,51
02:00:08_380,51
02:00:08_390,51
02:00:08_400,51
02:00:08_410,51
02:00:08_420,51
02:00:08_430,51
02:00:08_440,51
02:00:08_450,51
02:00:08_460,51
02:00:08_470,51
02:00:08_480,51
02:00:08_490,51
02:00:08_500,51
02:00:08_510,51
02:00:08_520,51
02:00:08_530,51
02:00:08_540,51
02:00:08_550,51
02:00:08_560,51
02:00:08_570,51
02:00:08_580,51
02:00:08_590,51
02:00:08_600,51
02:00:08_610,51
02:00:08_620,51
02:00:08_630,51
02:00:08_640,51
02:00:08_650,51
02:00:08_660,51
02:00:08_670,51
02:00:08_680,51
02:00:08_690,51
02:00:08_700,51
02:00:08_710,51
02:00:08_720,51
02:00:08_730,51
02:00:08_740,51
02:00:08_750,51
02:00:08_760,51
02:00:08_770,51
02:00:08_780,51
02:00:08_790,51
02:00:08_800,51
02:00:08_810,51
02:00:08_820,51
02:00:08_830,51
02:00:08_840,51
02:00:08_850,51
02:00:08_860,51
02:00:08_870,51
02:00:08_880,51
02:00:08_890,51
02:00:08_900,51
02:00:08_910,51
02:00:08_920,51
02:00:08_930,51
02:00:08_940,51
02:00:08_950,51
02:00:08_960,51
02:00:08_970,51
02:00:08_980,51
02:00:08_990,51
02:00:09_000,51
02:00:09_010,51
02:00:09_020,51
02:00:09_030,51
02:00:09_040,51
02:00:09_050,51
02:00:09_060,51
02:00:09_070,51
02:00:09_080,51
02:00:09_090,51
02:00:09_100,51
02:00:09_110,51
02:00:09_120,51
02:00:09_130,51
02:00:09_140,51
02:00:09_150,51
02:00:09_160,51
02:00:09_170,51
02:00:09_180,51
02:00:09_190,51
02:00:09_200,51
02:00:09_210,51
02:00:09_220,51
02:00:09_230,51
02:00:09_240,51
02:00:09_250,51
02:00:09_260,51
02:00:09_270,51
02:00:09_280,51
02:00:09_290,51
02:00:09_300,51
02:00:09_310,51
02:00:09_320,51
02:00:09_330,51
02:00:09_340,51
02:00:09_350,51
02:00:09_360,51
02:00:09_370,51
02:00:09_380,51
02:00:09_390,51
02:00:09_400,51
02:00:09_410,51
02:00:09_420,51
02:00:09_430,51
02:00:09_440,51
02:00:09_450,51
02:00:09_460,51
02:00:09_470,51
02:00:09_480,51
02:00:09_490,51
02:00:09_500,51
02:00:09_510,51
02:00:09_520,51
02:00:09_530,51
02:00:09_540,51
02:00:09_550,51
02:00:09_560,51
02:00:09_570,51
02:00:09_580,51
02:00:09_590,51
02:00:09_600,51
02:00:09_610,51
02:00:09_620,51
02:00:09_630,51
02:00:09_640,51
02:00:09_650,51
02:00:09_660,51
02:00:09_670,51
02:00:09_680,51
02:00:09_690,51
02:00:09_700,51
02:00:09_710,51
02:00:09_720,51
02:00:09_730,51
02:00:09_740,51
02:00:09_750,51
02:00:09_760,51
02:00:09_770,51
02:00:09_780,51
02:00:09_790,51
02:00:09_800,51
02:00:09_810,51
02:00:09_820,51
02:00:09_830,51
02:00:09_840,51
02:00:09_850,51
02:00:09_860,51
02:00:09_870,51
02:00:09_880,51
02:00:09_890,51
02:00:09_900,51
02:00:09_910,51
02:00:09_920,51
02:00:09_930,51
02:00:09_940,51
02:00:09_950,51
02:00:09_960,51
02:00:09_970,51
02:00:09_980,51
02:00:09_990,51
02:00:10_000,51
02:00:10_010,51
02:00:10_020,51
02:00:10_030,51
02:00:10_040,51
02:00:10_050,51
02:00:10_060,51
02:00:10_070,51
02:00:10_080,51
02:00:10_090,51
02:00:10_100,51
02:00:10_110,51
02:00:10_120,51
02:00:10_130,51
02:00:10_140,51
02:00:10_150,51
02:00:10_160,51
02:00:10_170,51
02:00:10_180,51
02:00:10_190,51
02:00:10_200,51
02:00:10_210,51
02:00:10_220,51
02:00:10_230,51
02:00:10_240,51
02:00:10_250,51
02:00:10_260,51
02:00:10_270,51
02:00:10_280,51
02:00:10_290,51
02:00:10_300,51
02:00:10_310,51
02:00:10_320,51
02:00:10_330,51
02:00:10_340,51
02:00:10_350,51
02:00:10_360,51
02:00:10_370,51
02:00:10_380,51
02:00:10_390,51
02:00:10_400,51
02:00:10_410,51
02:00:10_420,51
02:00:10_430,51
02:00:10_440,51
02:00:10_450,51
02:00:10_460,51
02:00:10_470,51
02:00:10_480,51
02:00:10_490,51
02:00:10_500,51
02:00:10_510,51
02:00:10_520,51
02:00:10_530,51
02:00:10_540,51
02:00:10_550,51
02:00:10_560,51
02:00:10_570,51
02:00:10_580,51
02:00:10_590,51
02:00:10_600,51
02:00:10_610,51
02:00:10_620,51
02:00:10_630,51
02:00:10_640,51
02:00:10_650,51
02:00:10_660,51
02:00:10_670,51
02:00:10_680,51
02:00:10_690,51
02:00:10_700,51
02:00:10_710,51
02:00:10_720,51
02:00:10_730,51
02:00:10_740,51
02:00:10_750,51
02:00:10_760,51
02:00:10_770,51
02:00:10_780,51
02:00:10_790,51
02:00:10_800,51
02:00:10_810,51
02:00:10_820,51
02:00:10_830,51
02:00:10_840,51
02:00:10_850,51
02:00:10_860,51
02:00:10_870,51
02:00:10_880,51
02:00:10_890,51
02:00:10_900,51
02:00:10_910,51
02:00:10_920,51
02:00:10_930,51
02:00:10_940,51
02:00:10_950,51
02:00:10_960,51
02:00:10_970,51
02:00:10_980,51
02:00:10_990,51
02:00:11_000,51
02:00:11_010,51
02:00:11_020,51
02:00:11_030,51
02:00:11_040,51
02:00:11_050,51
02:00:11_060,51
02:00:11_070,51
02:00:11_080,51
02:00:11_090,51
02:00:11_100,51
02:00:11_110,51
02:00:11_120,51
02:00:11_130,51
02:00:11_140,51
02:00:11_150,51
02:00:11_160,51
02:00:11_170,51
02:00:11_180,51
02:00:11_190,51
02:00:11_200,51
02:00:11_210,51
02:00:11_220,51
02:00:11_230,51
02:00:11_240,51
02:00:11_250,51
02:00:11_260,51
02:00:11_270,51
02:00:11_280,51
02:00:11_290,51
02:00:11_300,51
02:00:11_310,51
02:00:11_320,51
02:00:11_330,51
02:00:11_340,51
02:00:11_350,51
02:00:11_360,51
02:00:11_370,51
02:00:11_380,51
02:00:11_390,51
02:00:11_400,51
02:00:11_410,51
02:00:11_420,51
02:00:11_430,51
02:00:11_440,51
02:00:11_450,51
02:00:11_460,51
02:00:11_470,51
02:00:11_480,51
02:00:11_490,51
02:00:11_500,51
02:00:11_510,51
02:00:11_520,51
02:00:11_530,51
02:00:11_540,51
02:00:11_550,51
02:00:11_560,51
02:00:11_570,51
02:00:11_580,51
02:00:11_590,51
02:00:11_600,51
02:00:11_610,51
02:00:11_620,51
02:00:11_630,51
02:00:11_640,51
02:00:11_650,51
02:00:11_660,51
02:00:11_670,51
02:00:11_680,51
02:00:11_690,51
02:00:11_700,51
02:00:11_710,51
02:00:11_720,51
02:00:11_730,51
02:00:11_740,51
02:00:11_750,51
02:00:11_760,51
02:00:11_770,51
02:00:11_780,51
02:00:11_790,51
02:00:11_800,51
02:00:11_810,51
02:00:11_820,51
02:00:11_830,51
02:00:11_840,51
02:00:11_850,51
02:00:11_860,51
02:00:11_870,51
02:00:11_880,51
02:00:11_890,51
02:00:11_900,51
02:00:11_910,51
02:00:11_920,51
02:00:11_930,51
02:00:11_940,51
02:00:11_950,51
02:00:11_960,51
02:00:11_970,51
02:00:11_980,51
02:00:11_990,51
02:00:12_000,51
02:00:12_010,51
02:00:12_020,51
02:00:12_030,51
02:00:12_040,51
02:00:12_050,51
02:00:12_060,51
02:00:12_070,51
02:00:12_080,51
02:00:12_090,51
02:00:12_100,51
02:00:12_110,51
02:00:12_120,51
02:00:12_130,51
02:00:12_140,51
02:00:12_150,51
02:00:12_160,51
02:00:12_170,51
02:00:12_180,51
02:00:12_190,51
02:00:12_200,51
02:00:12_210,51
02:00:12_220,51
02:00:12_230,51
02:00:12_240,51
02:00:12_250,51
02:00:12_260,51
02:00:12_270,51
02:00:12_280,51
02:00:12_290,51
02:00:12_300,51
02:00:12_310,51
02:00:12_320,51
02:00:12_330,51
02:00:12_340,51
02:00:12_350,51
02:00:12_360,51
02:00:12_370,51
02:00:12_380,51
02:00:12_390,51
02:00:12_400,51
02:00:12_410,51
02:00:12_420,51
02:00:12_430,51
02:00:12_440,51
02:00:12_450,51
02:00:12_460,51
02:00:12_470,51
02:00:12_480,51
02:00:12_490,51
02:00:12_500,51
02:00:12_510,51
02:00:12_520,51
02:00:12_530,51
02:00:12_540,51
02:00:12_550,51
02:00:12_560,51
02:00:12_570,51
02:00:12_580,51
02:00:12_590,51
02:00:12_600,51
02:00:12_610,51
02:00:12_620,51
02:00:12_630,51
02:00:12_640,51
02:00:12_650,51
02:00:12_660,51
02:00:12_670,51
02:00:12_680,51
02:00:12_690,51
02:00:12_700,51
02:00:12_710,51
02:00:12_720,51
02:00:12_730,51
02:00:12_740,51
02:00:12_750,51
02:00:12_760,51
02:00:12_770,51
02:00:12_780,51
02:00:12_790,51
02:00:12_800,51
02:00:12_810,51
02:00:12_820,51
02:00:12_830,51
02:00:12_840,51
02:00:12_850,51
02:00:12_860,51
02:00:12_870,51
02:00:12_880,51
02:00:12_890,51
02:00:12_900,51
02:00:12_910,51
02:00:12_920,51
02:00:12_930,51
02:00:12_940,51
02:00:12_950,51
02:00:12_960,51
02:00:12_970,51
02:00:12_980,51
02:00:12_990,51
02:00:13_000,51
02:00:13_010,51
02:00:13_020,51
02:00:13_030,51
02:00:13_040,51
02:00:13_050,51
02:00:13_060,51
02:00:13_070,51
02:00:13_080,51
02:00:13_090,51
02:00:13_100,51
02:00:13_110,51
02:00:13_120,51
02:00:13_130,51
02:00:13_140,51
02:00:13_150,51
02:00:13_160,51
02:00:13_170,51
02:00:13_180,51
02:00:13_190,51
02:00:13_200,51
02:00:13_210,51
02:00:13_220,51
02:00:13_230,51
02:00:13_240,51
02:00:13_250,51
02:00:13_260,51
02:00:13_270,51
02:00:13_280,51
02:00:13_290,51
02:00:13_300,51
02:00:13_310,51
02:00:13_320,51
02:00:13_330,51
02:00:13_340,51
02:00:13_350,51
02:00:13_360,51
02:00:13_370,51
02:00:13_380,51
02:00:13_390,51
02:00:13_400,51
02:00:13_410,51
02:00:13_420,51
02:00:13_430,51
02:00:13_440,51
02:00:13_450,51
02:00:13_460,51
02:00:13_470,51
02:00:13_480,51
02:00:13_490,51
02:00:13_500,51
02:00:13_510,51
02:00:13_520,51
02:00:13_530,51
02:00:13_540,51
02:00:13_550,51
02:00:13_560,51
02:00:13_570,51
02:00:13_580,51
02:00:13_590,51
02:00:13_600,51
02:00:13_610,51
02:00:13_620,51
02:00:13_630,51
02:00:13_640,51
02:00:13_650,51
02:00:13_660,51
02:00:13_670,51
02:00:13_680,51
02:00:13_690,51
02:00:13_700,51
02:00:13_710,51
02:00:13_720,51
02:00:13_730,51
02:00:13_740,51
02:00:13_750,51
02:00:13_760,51
02:00:13_770,51
02:00:13_780,51
02:00:13_790,51
02:00:13_800,51
02:00:13_810,51
02:00:13_820,51
02:00:13_830,51
02:00:13_840,51
02:00:13_850,51
02:00:13_860,51
02:00:13_870,51
02:00:13_880,51
02:00:13_890,51
02:00:13_900,51
02:00:13_910,51
02:00:13_920,51
02:00:13_930,51
02:00:13_940,51
02:00:13_950,51
02:00:13_960,51
02:00:13_970,51
